model_type	quickRun	runInParallel	cores	user	system	elapsed
gbm	TRUE	TRUE	4	1.375	0.089	13.013
gbm	TRUE	TRUE	4	1.389	0.095	13.588
gbm	TRUE	TRUE	4	1.582	0.157	15.902
gbm	TRUE	TRUE	4	1.56	0.157	16.81
gbm	TRUE	FALSE	4	1.615	0.163	16.07
gbm	TRUE	TRUE	4	1.528	0.158	14.707
svmRadial	TRUE	TRUE	4	1.368	0.168	22.061
svmRadial	TRUE	TRUE	4	1.399	0.159	20.723
svmRadial	TRUE	TRUE	4	1.358	0.153	20.284
gbm	TRUE	TRUE	4	1.319	0.092	14.403
gbm	TRUE	TRUE	4	1.297	0.085	14.026
svmRadial	TRUE	TRUE	4	1.439	0.095	19.449
gbm	TRUE	TRUE	4	1.281	0.096	14.484
svmRadial	TRUE	TRUE	4	1.48	0.103	19.316
gbm	TRUE	TRUE	4	1.355	0.095	14.872
svmRadial	TRUE	TRUE	4	1.657	0.109	20.188
gbm	TRUE	TRUE	4	1.428	0.095	15.851
svmRadial	TRUE	TRUE	4	1.497	0.106	21.067
rf	TRUE	TRUE	4	1.132	0.084	15.49
gbm	TRUE	TRUE	4	1.296	0.088	14.3
svmRadial	TRUE	TRUE	4	1.467	0.097	19.493
rf	TRUE	TRUE	4	1.157	0.082	14.484
svmRadial	FALSE	FALSE	1	11980.985	869.036	12210.264
svmRadial	FALSE	TRUE	1	8251.465	641.548	8246.946
gbm	TRUE	TRUE	4	1.37	0.095	15.609
svmRadial	TRUE	TRUE	4	1.543	0.107	19.184
rf	TRUE	TRUE	4	1.299	0.112	22.829
gbm	FALSE	TRUE	4	37.049	1.854	2070.662
svmRadial	FALSE	TRUE	4	29.864	3.162	4417.366
rf	FALSE	TRUE	4	67.615	2.78	6336.564
gbm	FALSE	FALSE	4	6205.29	143.934	6360.281
svmRadial	FALSE	FALSE	4	9600.888	2280.954	11910.559
rf	FALSE	FALSE	4	17095.029	136.836	17280.35

